CCT,Plantel,Subnivel,Subsistema,Municipio,Localidad,Colonia/Asentamiento,Calle,NumExt,Sostenimiento,Dependencia,Dominio (institucional público),Fuente (si aplica)
22MMS0190Z,PREPA IDAI,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN SEBASTIAN,AVENIDA UNIVERSIDAD ORIENTE,23.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0154V,PREPARATORIA CERVANTES,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LOMAS DE QUERETARO,BOULEVARD DE LAS AMERICAS,16.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0219O,PREPARATORIA CESBA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CIUDAD DEL SOL,CIRCUITO PUERTA DEL SOL,701.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0191Z,PREPARATORIA CUAUHTEMOC QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,RESIDENCIAL LOS ARCOS,BOULEVARD BERNARDO QUINTANA ARRIOJA,229.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0177F,PREPARATORIA DE NEGOCIOS,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,ALAMOS 2A SECCION,AVENIDA INDUSTRIALIZACION,1.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0201P,PREPARATORIA DEL INSTITUTO ASUNCION DE QUERETARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,LOMA DORADA,CERRADA DE LA ASUNCIÓN,16.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0138D,PREPARATORIA ITECA,BACHILLERATO GENERAL Y TECNOLÓGICO,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,OBSERVATORIO,AVENIDA CONSTITUYENTES,1.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0175H,PREPARATORIA NUEVO HORIZONTE,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CERRITO COLORADO,AVENIDA DE LA LUZ,1701.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0266Z,PREPARATORIA SUMMERHILL,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,FELIPE CARRILLO PUERTO,CALLE MOTUL,7.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0140S,PREPARATORIAS UNIVERSIDAD MARISTA DE QUERÉTARO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,CALLE MARTE,2.0,PRIVADO,ASOCIACIÓN CIVIL,umq.maristas.edu.mx,UMQ contact shows informes@umq.maristas.edu.mx
22MMS0310W,SINAI PREPARATORIA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,OBSERVATORIO,AVENIDA CONSTITUYENTES,39.0,PRIVADO,SOCIEDAD CIVIL,,
